,label,gry,b,g,r,h,s,v,l,a,bl,gry_std,b_std,g_std,r_std,h_std,s_std,v_std,l_std,a_std,bl_std,gry_min,b_min,g_min,r_min,h_min,s_min,v_min,l_min,a_min,bl_min
12,2,91.14113355780023,40.954433300078385,107.01176669695188,79.07401617586802,42.77413909821317,159.28061478987405,107.08109757183831,106.45400655585841,106.11076372187483,160.92117827303014,14.174738827464052,13.848752003302636,13.968156501244762,16.19049195809287,2.9120252632743973,22.318905668657756,14.234692438111486,14.671865959378623,2.9047425358482446,4.038434020682841,22.0,1.0,30.0,16.0,19.0,28.0,30.0,24.0,98.0,138.0
13,3,85.91820254848884,39.261136307078175,100.92285463253107,74.2529240582831,43.15607335666147,157.1653521312741,100.94763866105302,100.52129750483746,107.07773957471014,158.9910970487707,12.987945710978561,13.127518996775596,12.819165325749584,15.047514841372417,2.995679753286751,24.37469134492048,12.928071711965675,13.451263532347904,2.842190088856758,4.458475824665367,39.0,1.0,51.0,29.0,18.0,25.0,51.0,47.0,97.0,136.0
14,2,79.02371012163665,35.368460284183556,93.46352356164223,67.33586039443115,43.70095667312989,159.7322013962886,93.46352356164223,92.7651754677101,107.61121106782888,157.46872325187346,15.25205349547603,11.23420670577387,16.717230768702393,15.293917195513275,2.3732649978296694,20.973214537220596,16.717230768702393,17.054985758978354,2.747699445689783,4.996967915663977,18.0,1.0,25.0,11.0,30.0,24.0,25.0,18.0,96.0,137.0
15,1,89.56500120559657,38.88085214535217,105.56526187512627,77.46359424181009,42.866498100370805,162.9891365973503,105.61894024802706,104.86645899994134,106.01472131168907,161.11946484545555,16.161474451601787,15.456064219084023,16.187768200200914,18.335877396545637,3.116275367527123,26.88718498932748,16.3265534147336,16.946217091963163,3.1546598453975863,5.374919175820951,15.0,1.0,20.0,7.0,17.0,11.0,20.0,14.0,96.0,131.0
16,3,78.61510979896235,35.092828120116366,94.93375037865856,63.18298705107924,46.29651730289319,161.7719585903804,94.94303532704079,93.4438647696073,105.1670425203514,157.66553509864357,13.325022768361498,13.460487121520957,13.964670491264096,14.329403751104037,2.863642684686213,29.360002324465565,13.991813109971403,14.4127173186377,3.0285174467554334,5.703595928445343,19.0,1.0,19.0,20.0,14.0,35.0,25.0,16.0,96.0,133.0
17,2,99.04206398789951,48.739804013449415,115.2709127975799,86.28686456004209,43.34784377877154,149.0621218597922,115.27255688543995,114.66998224385111,105.75025483361831,160.7239864198343,16.1797969984262,17.174439954390294,16.457892196604895,16.814965643779267,2.27216757715577,27.87553049640993,16.45802838162769,16.670951758657083,2.6064892297864475,5.484522998366439,9.0,1.0,12.0,6.0,23.0,9.0,12.0,8.0,95.0,124.0
18,3,82.62635065665677,34.205863381750284,99.03134881375003,68.83955071873363,44.24072726920018,167.4466478496188,99.03135851325924,97.85308638382898,105.23603755649964,160.26991794215212,11.489211232884388,9.622410207483306,12.13535935993004,12.571258738736331,2.150975380807798,19.322771622030817,12.13541288628635,12.450554117089851,1.82045883250536,4.481927172751067,46.0,2.0,59.0,33.0,29.0,45.0,59.0,56.0,97.0,141.0
19,3,85.06359668805815,38.29708291259957,99.05642754566261,75.46122043710452,41.75842009603734,159.01459071938248,99.06747296145043,98.98948189202531,108.41247812233541,158.95722636090292,17.016563520064093,14.35095582701212,17.385748979461376,18.18360911441661,2.178210257820752,22.310964875333678,17.426289722846217,18.078770374136113,2.3559548572536895,3.795394847914318,37.0,1.0,48.0,26.0,18.0,56.0,48.0,45.0,99.0,142.0
20,3,87.77223448086157,36.87884967288993,105.529340006817,72.3425960808233,44.73364069629071,166.81204216971938,105.54448690119537,104.03141799568257,103.72035352719924,161.59721698987616,12.019074342200856,12.84431183468303,12.17873273022422,13.485775748182144,2.4484062673876545,25.026403378328315,12.236825215095378,12.585924575921018,2.559810038116855,4.919279621049004,31.0,1.0,42.0,18.0,23.0,26.0,42.0,37.0,94.0,135.0
21,2,79.12615348736134,53.10454928524861,87.8636009477015,71.87794367854474,44.09290442949747,103.69732915666226,87.91888883588545,89.53864215787604,114.90213444852571,146.1542029077687,17.146555004219046,17.49032889683628,17.030137373669426,18.380470221043,4.1955249403171155,27.597703699836178,17.24133223128633,18.28392528015769,3.1707817412642547,4.754504599991543,22.0,3.0,26.0,17.0,13.0,11.0,26.0,20.0,100.0,121.0
22,3,71.54841440416116,36.452457551385166,85.83161597682391,56.92009236571934,47.7931412339571,150.52473510696834,85.83415086087295,84.4125653120635,107.37049282096382,152.9786063310963,16.994050688540504,14.544458803337708,17.867458616502116,17.012547276803254,2.7151529769655647,26.98361566426393,17.87626474186169,18.804464408561763,2.4089169281360356,3.829208809365559,24.0,1.0,34.0,10.0,20.0,10.0,34.0,27.0,95.0,132.0
23,3,75.53927630616127,23.460911724348225,94.22543782623542,58.72335235865164,45.162227425728084,192.47088882384506,94.22826723254794,91.80555758817503,102.52751353724572,162.56165544660715,13.447862234067973,9.324297782009856,15.008085524999167,13.54013404922653,1.7536907162153679,18.44689995242572,15.017373925332429,15.114797803226141,2.9229852448893308,4.508625353886411,39.0,1.0,55.0,19.0,22.0,45.0,55.0,52.0,92.0,141.0
24,1,88.52603719524078,39.85291932534894,102.1935816878486,80.29817289308606,40.60964806017002,158.00806897605116,102.19818500708405,102.56541822261315,109.06818074084998,159.72720856617667,16.15298064534615,15.714954129224074,16.44482294319377,17.273179015593325,2.674139002962665,28.527526960369137,16.44108958580696,17.20432498994631,3.0308231182406224,4.837767351677617,13.0,1.0,15.0,9.0,3.0,2.0,15.0,10.0,100.0,115.0
25,3,54.58325083136598,36.63932678394639,61.55489553981672,47.75065620795573,47.180656461807935,106.63326479323737,61.5576066813901,61.40782372502729,116.91871652324016,141.5275962734496,14.431544266939362,13.187939621181958,14.78495436917561,14.745841127832762,4.281041998817136,24.723241146776008,14.793386361086451,16.508515004993402,1.9851307384208312,3.245834496431993,17.0,2.0,22.0,10.0,23.0,16.0,22.0,15.0,103.0,116.0
26,1,55.918409187983485,32.28016705424517,63.38536377011058,50.28668786483793,45.49511993067921,121.20791636117802,63.49557211333112,62.75586350908832,116.59105880119596,144.75528451426132,24.12058018678452,15.721545732795144,26.4912635787015,24.003070943903825,8.5951008246719,40.29178991008698,26.727766211088884,28.6802937210674,4.7881285589924785,8.737503531829946,8.0,1.0,8.0,5.0,13.0,2.0,8.0,6.0,103.0,113.0
27,2,83.72409656181419,42.270604931528226,96.29068032187271,74.90443306510608,42.19003657644477,144.2680126798342,96.29471836137527,96.78207266520361,110.15996586198489,155.7145769324555,14.78265211010456,14.034189600493443,15.265372373752147,16.027887375303244,2.889829338403848,27.826001770272796,15.265177061670208,15.89622461716408,2.823044093780781,5.687152892285695,18.0,1.0,21.0,16.0,8.0,30.0,21.0,15.0,98.0,132.0
28,4,78.16378062538581,43.598086379020415,91.12548159816087,65.91540901253752,46.18805210838885,135.35093871729921,91.12551352732072,90.77617126801337,109.22462163945593,152.1503703782541,16.612273981624842,14.203414141860446,17.357590031848307,17.194193899919313,2.9318814965448023,25.27584506082155,17.35764130671582,18.271243969112927,2.8590462522382354,4.574653742621916,23.0,1.0,32.0,11.0,28.0,23.0,32.0,26.0,99.0,127.0
29,1,70.7540415854451,30.593904667754963,83.20504873294347,61.63735306922072,42.666878931226286,164.3681895268975,83.21783625730994,82.58471085120208,110.19647823261859,155.19153996101363,20.26643658433151,16.74231157559061,21.906151989295882,20.079586694751004,4.02950067026455,34.04445588971384,21.928840264460145,23.149452370614362,4.131318199593238,6.712796438897842,6.0,1.0,7.0,3.0,3.0,2.0,7.0,5.0,97.0,113.0
30,2,90.11566450833207,38.39942176959342,106.95462288181946,76.78878360568633,43.42206814641948,164.26923096958362,106.97400101057983,105.9796529648016,104.95281008912897,161.87489646765883,12.431258569448872,11.81981059340954,12.514676561220348,14.5052313233213,2.924504485294553,21.226520188309745,12.587312745369518,12.914527684506371,2.6207211358020897,4.663368814738588,37.0,1.0,49.0,27.0,19.0,34.0,49.0,45.0,95.0,135.0
31,3,80.26270310827931,27.326458430726078,98.34971524865004,64.96696146324064,44.30821412317495,184.6617178563082,98.3505147664793,96.43199793355392,103.35753822310238,162.82746405244836,13.435305477794346,9.270983812889376,14.745524474298653,14.214757813719714,2.0420836701865466,18.529517327559613,14.748596604722827,14.961919542745587,2.6839827427971032,4.940394093364933,23.0,1.0,31.0,12.0,23.0,35.0,31.0,25.0,94.0,142.0
32,3,87.97334773406646,36.74439388483321,105.67619078789465,72.77485762911566,44.39617289607471,168.4678601819729,105.7818398027536,104.16017542711265,103.80566647029303,161.78084702493945,16.329762557041814,15.810870229125157,15.865545066831887,19.385013247165634,3.4447093856438884,26.523509393469027,16.190166606199107,16.764435034927736,3.7080887061135677,5.195557850391473,30.0,1.0,44.0,15.0,22.0,47.0,44.0,38.0,94.0,144.0
33,1,87.34661006169306,32.25831442085393,104.97985435349489,73.74744535606013,42.88677945260658,179.71733553817126,105.06714155483475,103.50535839216434,104.20155716678327,163.53906167186076,20.01928114851631,18.032522356607853,20.434934875080888,22.460619488230165,3.330206972685445,31.149214328477083,20.596805558571898,21.228264163194236,4.60024991699595,6.486352254048739,16.0,1.0,23.0,8.0,16.0,20.0,23.0,15.0,95.0,134.0
34,2,68.49953612855705,42.52573951186593,77.75427183428825,60.24233206448094,45.24296742779068,120.31492091694733,77.79180325103599,78.20187122928743,113.9665675200027,146.62597342719468,17.980955063424485,17.407316011253286,18.019728237208874,18.82282430521697,3.8357331646115114,29.36127113045267,18.16015142561876,19.659397574452676,2.457733996171639,3.7308329087568137,14.0,1.0,19.0,8.0,16.0,5.0,19.0,11.0,95.0,126.0
